,Provinsi,Tahun,Produksi,Luas Panen,Curah hujan,Kelembapan,Suhu rata-rata
189,1,1999,381577.0,114788.0,3084.0,84.72,25.81
195,1,2005,441276.0,116818.0,3375.2,84.7,25.7
196,1,2006,378377.0,100991.0,2313.8,83.3,26.1
197,1,2007,470469.0,123853.0,3150.0,84.2,26.4
198,1,2008,484900.0,127506.0,3396.0,84.2,26.3
199,1,2009,510160.0,132975.0,3850.0,84.1,26.5
200,1,2010,516869.0,133629.0,3822.0,84.0,26.8
201,1,2011,502552.0,127934.0,2465.7,82.52,26.35
202,1,2012,581910.0,144448.0,2545.0,82.0,26.9
203,1,2013,622832.0,147680.0,3980.9,83.93,26.7
204,1,2014,593194.0,147572.0,3323.0,83.7,26.9
205,1,2015,578654.0,128833.0,2668.9,83.2,27.0
206,1,2016,629224.0,83449.0,3350.1,83.38,26.77
207,1,2017,714017.0,82429.0,3949.8,84.2,26.52
208,1,2018,288810.52,65891.16,3649.9,83.79,26.64
209,1,2019,296472.07,64406.86,1786.2,83.26,26.56
210,1,2020,296925.16,64137.28,4144.0,80.18,25.84
211,1,2021,301332.2,65273.0,3318.2,81.0,26.773389830508478
212,1,2022,316527.0,78253.0,3475.0,80.93594017094019,25.7
213,1,2023,572396.0,80192.3,3628.0,82.0,26.0
214,3,1993,1646900.0,433078.0,2306.7,84.82,26.41
215,3,1994,1615751.0,425940.0,2034.2,77.51,25.73
216,3,1995,1943709.0,514363.0,3039.4,82.81,26.43
217,3,1996,1971740.0,515192.0,1934.9,82.61,26.27
218,3,1997,1753656.0,454087.0,1253.3,78.46,26.68
219,3,1998,1975700.0,521575.0,2584.9,84.07,26.95
220,3,1999,1801422.0,476899.0,2364.7,83.46,26.24
221,3,2000,1946406.0,496879.0,1488.5,82.86,28.2
222,3,2001,1992726.0,501119.0,2013.1,77.83,26.71
223,3,2002,1951109.0,475461.0,2143.5,75.84,27.5
226,3,2005,2124144.0,496538.0,1612.8,79.6,26.59
227,3,2006,2129914.0,494102.0,560.3,74.6,26.18
228,3,2007,2308404.0,524955.0,1941.4,75.9,27.6
229,3,2008,2341075.0,506547.0,1940.1,79.0,26.4
230,3,2009,2673844.0,570417.0,1789.0,79.1,26.7
231,3,2010,2807676.0,590608.0,2710.0,82.3,26.7
232,3,2011,2940795.0,606973.0,1568.0,77.8,26.8
233,3,2012,3101455.0,641876.0,1685.0,79.2,26.8
234,3,2013,3207002.0,638090.0,2456.7,81.0,26.7
235,3,2014,3320064.0,648731.0,1682.5,79.9,25.8
236,3,2015,3641895.0,707266.0,1628.1,78.9,27.1
237,3,2016,3831923.0,390799.0,2317.6,79.4,26.45
238,3,2017,4090654.0,396559.0,1825.1,77.04,26.36
239,3,2018,2488641.91,511940.93,1385.8,76.05,25.5
240,3,2019,2164089.33,464103.42,1706.4,78.03,27.23
242,3,2021,2453827.0,501726.0,1829.0,78.0,25.0
243,3,2022,3572882.3,552718.0,1999.0,78.2,26.2
244,3,2023,3729376.0,589202.4,2018.0,80.0,26.4
